0,0,0,0,YYYYY,MM,DD,hh,mm
484,5,2,3,2020,06,25,22,13
485,5,2,3,2020,06,25,22,15
486,5,2,3,2020,06,25,22,19
487,5,2,3,2020,06,25,23,00
487,5,2,3,2020,06,26,00,53
487,5,2,3,2020,06,26,00,53
487,5,2,3,2020,06,26,00,53
487,5,2,3,2020,06,26,00,53
487,5,2,3,2020,06,26,03,44
487,5,2,3,2020,06,27,04,14
487,5,2,3,2020,06,28,03,05
488,5,2,3,2020,06,28,19,35
489,5,2,3,2020,06,28,23,55
489,5,2,3,2020,06,29,00,43
489,5,2,3,2020,06,29,00,43
490,5,2,3,2020,06,29,09,57
491,5,2,3,2020,06,29,09,58
491,5,2,3,2020,06,29,10,03
492,5,2,3,2020,06,29,21,05
493,5,2,3,2020,06,29,21,15
493,5,2,3,2020,06,30,01,18
493,5,2,3,2020,06,30,01,18
494,5,2,3,2020,06,30,01,21
494,5,2,3,2020,06,30,02,37
494,5,2,3,2020,07,01,03,27
494,5,2,3,2020,07,02,01,40
495,5,2,3,2020,07,02,21,41
496,5,2,3,2020,07,02,22,04
496,5,2,3,2020,07,02,23,33
497,5,2,3,2020,07,04,21,18
497,5,2,3,2020,07,04,21,31
497,5,2,3,2020,07,07,01,19
497,5,2,3,2020,07,07,01,20
497,5,2,3,2020,07,07,01,20
497,5,2,3,2020,07,07,01,20
497,5,2,3,2020,07,07,01,20
498,5,2,3,2020,07,07,01,24
499,5,2,3,2020,07,11,02,45
499,5,2,3,2020,07,11,04,12
500,5,2,3,2020,07,11,23,46
500,5,2,3,2020,07,12,01,54
501,5,2,3,2020,07,12,22,38
502,5,2,3,2020,07,12,23,48
503,5,2,3,2020,07,12,23,49
504,5,2,3,2020,07,13,00,40
504,5,2,3,2020,07,13,00,41
504,5,2,3,2020,07,13,00,41
504,5,2,3,2020,07,13,00,41
504,5,2,3,2020,07,13,00,59
504,5,2,3,2020,07,13,22,53
506,5,2,3,2020,07,13,23,54
507,5,2,3,2020,07,14,01,34
508,5,2,3,2020,07,14,01,42
509,5,2,3,2020,07,14,02,12
510,5,2,3,2020,07,14,02,39
510,5,2,3,2020,07,14,03,16
511,5,2,3,2020,07,14,22,14
511,5,2,3,2020,07,14,22,35
511,5,2,3,2020,07,15,02,24
511,5,2,3,2020,07,15,02,24
512,39,15,24,2020,07,15,18,20
513,39,15,24,2020,07,15,18,22
514,39,15,24,2020,07,15,20,58
514,39,15,24,2020,07,16,01,25
514,39,15,24,2020,07,16,01,25
515,39,15,24,2020,07,16,19,39
516,39,15,24,2020,07,16,22,52
516,39,15,24,2020,07,17,02,29
516,39,15,24,2020,07,17,02,29
516,39,15,24,2020,07,19,01,47
516,39,15,24,2020,07,19,04,15
516,39,15,24,2020,07,20,04,25
517,39,15,24,2020,07,21,03,55
518,39,15,24,2020,07,21,04,06
519,39,15,24,2020,07,21,22,31
520,39,15,24,2020,07,22,00,47
520,39,15,24,2020,07,22,00,48
520,39,15,24,2020,07,22,00,48
520,39,15,24,2020,07,22,00,48
521,39,15,24,2020,07,22,02,21
522,39,15,24,2020,07,22,03,13
522,39,15,24,2020,07,22,03,16
523,39,15,24,2020,07,22,20,28
523,39,15,24,2020,07,23,00,26
523,39,15,24,2020,07,23,00,26
523,39,15,24,2020,07,23,00,26
523,39,15,24,2020,07,23,00,26
524,39,15,24,2020,07,23,02,38
524,39,15,24,2020,07,23,03,36
525,39,15,24,2020,07,23,19,48
526,39,15,24,2020,07,23,19,51
527,39,15,24,2020,07,23,19,54
528,39,15,24,2020,07,23,19,58
529,39,15,24,2020,07,23,20,02
530,39,15,24,2020,07,23,20,05
531,39,15,24,2020,07,23,20,08
532,39,15,24,2020,07,23,20,12
